Id,Artist,Album,Title,Image,Url
0,Great Audio Shares,Great Audio Shares,Sir Antony Hopkins,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Sir%20Antony%20Hopkins..mp3
1,Great Audio Shares,Great Audio Shares,S.R.V's A.A Speech (Full),no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/S.R.V's%20A.A%20Speech%20(Full).mp3
2,Great Audio Shares,Great Audio Shares,Scott R - Inventory Process CD1,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/ScottR-InventoryProcessCD1.mp3
3,Great Audio Shares,Great Audio Shares,AA Jerry J Steps 4 - 5 - 6,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/02-AA-Jerry-J-Steps-4-5-6.mp3
4,Great Audio Shares,Great Audio Shares,Chapter 05 - How It Works,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/06%20-%20Chapter%2005%20-%20How%20It%20Works.mp3
5,Great Audio Shares,Great Audio Shares,"Mickey B. (Los Angeles, CA) - 'Steps 1, 2& 3'; Reykjavik Iceland; 20010825",no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Mickey%20B.mp3
6,Great Audio Shares,Great Audio Shares,Old-Time Ex-Mobster Jack B's Story,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Old-Time%20Ex-Mobster%20Jack%20B's%20Story.mp3
7,Great Audio Shares,Great Audio Shares,"Polly Pistole . from Birch Wayb WA. Steps 4-5, at Primm NV. Dec. 2009",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Polly%20Pistole%20.%20from%20Birch%20Wayb%20WA.%20Steps%204-5%20,%20at%20Primm%20NV.%20Dec.%202009.mp3"
8,Great Audio Shares,Great Audio Shares,mark-h-delmar2006,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/meditation.mp3
9,Great Audio Shares,Great Audio Shares,"Dr. Paul & Max Ohlinger, Communication in Sober Relationships",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Dr.%20Paul%20&%20Max%20Ohlinger%20,%20Communication%20in%20Sober%20Relationships,.mp3"
10,Great Audio Shares,Great Audio Shares,To quit playing God - Russell S. Step 6 at the 12 Step House,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/To_quit_playing_God_-_Russell_S._Ste.mp3
11,Great Audio Shares,Great Audio Shares,"Karl M. At The 22nd Tumbleweed Conference in Hobbs, NM on 09-20-2002",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Karl%20M.%20from%20Covina,%20CA%20-%2022nd%20Tumbleweed%20Conference%20in%20Hobbs,%20NM%20on%20(09-20-2002).mp3"
12,Great Audio Shares,Great Audio Shares,PPG_20110719_Sadik_1-3,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/PPG_20110719_Sadik_1-3.mp3
13,Great Audio Shares,Great Audio Shares,Adam T Hilarious Recovery Share 2013,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Adam%20T%20Hilarious%20Recovery%20Share%202013.mp3
14,Great Audio Shares,Great Audio Shares,FSOTS-cd7-chris-rp2&questions,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/7-01%20FSOTS-cd7-chris-rp2&questions%201.mp3
15,Great Audio Shares,Great Audio Shares,"Joy of Living Group, Aspen CO.10-5-2012",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Joy%20of%20Living%20Group%20,%20Aspen%20CO.10-5-2012.mp3"
16,Great Audio Shares,Great Audio Shares,"Mark Houston,Recovery-Spirtuality-Meditation",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/75_best_audio/Mark%20Houston%20,Recovery-Spirtuality-Meditation%201.mp3"
